filename,MFCC_Mean_1,MFCC_StdDev_1,MFCC_Mean_2,MFCC_StdDev_2,MFCC_Mean_3,MFCC_StdDev_3,MFCC_Mean_4,MFCC_StdDev_4,MFCC_Mean_5,MFCC_StdDev_5,MFCC_Mean_6,MFCC_StdDev_6,MFCC_Mean_7,MFCC_StdDev_7,MFCC_Mean_8,MFCC_StdDev_8,MFCC_Mean_9,MFCC_StdDev_9,MFCC_Mean_10,MFCC_StdDev_10,MFCC_Mean_11,MFCC_StdDev_11,MFCC_Mean_12,MFCC_StdDev_12,MFCC_Mean_13,MFCC_StdDev_13
"7 Seconds -- Youssou N'Dour, Neneh Cherry_1",-220.85213,114.88759,127.10273,43.04051,-8.352807,28.400259,49.5,19.258394,-2.0700843,14.87804,30.720768,22.691921,-2.4606361,12.433718,15.38917,16.659916,-7.3895044,8.328297,6.6059303,13.516421,-2.262996,9.886468,5.8269315,8.36184,2.5966387,6.3212705
"7 Seconds -- Youssou N'Dour, Neneh Cherry_2",-177.18689,53.960754,141.07071,30.124899,-2.857252,16.72329,51.72928,11.961886,-3.522262,14.483647,39.33285,13.511899,-1.4480733,12.932646,21.093435,10.574748,-6.1932793,7.9280443,11.1215725,8.926885,-0.88409007,9.868897,8.073796,7.189212,3.5264888,6.253897
"7 Seconds -- Youssou N'Dour, Neneh Cherry_3",-175.85992,55.39866,142.48146,31.48512,-5.452794,17.106672,54.20472,12.5301,-3.9571528,14.862545,40.402023,14.410908,-2.3755004,14.1163,21.413586,10.808199,-6.299252,8.296001,11.453906,9.105299,-1.5905281,10.299069,8.603446,7.199819,3.2885563,6.551465
"7 Seconds -- Youssou N'Dour, Neneh Cherry_4",-168.87038,55.242714,140.69824,30.286985,-5.928559,17.233326,54.209587,12.936077,-5.0749135,15.076431,41.380413,14.45346,-5.108227,14.671167,21.21708,10.822771,-5.7959657,8.874786,11.101801,9.165461,-3.6799006,11.097007,9.589622,7.566499,2.9982753,6.4823823
"7 Seconds -- Youssou N'Dour, Neneh Cherry_5",-158.13608,53.203526,136.64862,29.56993,-5.854443,17.531874,54.95231,13.563373,-7.205549,15.979454,43.979256,14.146444,-8.95504,14.0604725,22.159534,10.639447,-4.9000335,10.028434,10.879565,9.207662,-6.11554,10.927433,10.907071,7.68425,2.4254735,6.4012675
"7 Seconds -- Youssou N'Dour, Neneh Cherry_6",-152.10997,50.976982,137.6891,27.991798,-6.558939,17.070705,54.554134,13.242844,-7.1077256,16.306707,44.074944,13.608644,-11.179025,13.975544,21.219833,10.8559065,-3.4399679,10.658321,10.106455,9.381256,-7.743368,10.849631,11.607644,7.7279334,2.5790837,6.4668055
"7 Seconds -- Youssou N'Dour, Neneh Cherry_7",-146.69821,47.151436,136.16597,27.562162,-7.342241,16.767715,55.90908,13.349072,-8.835035,17.109411,46.600338,13.317838,-14.194448,12.308453,21.798326,10.818994,-3.5019991,11.137502,10.930451,9.425507,-9.515672,10.229095,11.685935,7.9983835,2.061838,6.3952017
"7 Seconds -- Youssou N'Dour, Neneh Cherry_8",-145.8422,46.18623,134.98433,27.963745,-4.7078805,16.527643,56.211025,13.120522,-7.9997125,16.93889,45.865074,12.995517,-13.453731,12.387525,21.526459,10.225977,-3.9620626,11.209989,10.469986,9.279477,-8.617611,9.694504,11.33516,7.537587,1.8331693,6.456655
"7 Seconds -- Youssou N'Dour, Neneh Cherry_9",-146.59099,46.0391,133.84698,27.81346,-2.4203367,16.72305,56.3352,12.984861,-9.7849455,16.984886,44.590626,13.036114,-12.506122,12.669678,21.385061,9.72157,-6.088516,10.440512,10.678084,8.918683,-7.2246714,9.681389,11.510114,7.3507714,1.5803244,6.790939
a-ha -- Take On Me_1,-193.96501,101.70683,100.469986,37.02551,-23.553938,23.860857,51.709778,20.67929,-5.919945,17.595385,26.28524,13.7783985,-3.9083064,11.85372,19.563194,14.47492,-8.903724,10.226894,11.777285,10.186108,-8.578254,10.237353,6.2897983,8.888656,-1.5824884,8.936755
a-ha -- Take On Me_2,-155.99657,74.52025,115.55777,30.966671,-31.479855,20.380129,49.73457,19.012896,-11.449765,15.066553,26.513115,13.1438675,-6.3681426,11.364203,18.372534,13.63005,-10.762589,9.699413,9.858088,10.0666,-9.603992,10.036961,5.1077332,8.777972,-1.6573685,9.2316475
a-ha -- Take On Me_3,-131.47336,63.162937,123.10794,27.445862,-36.593548,18.624138,48.924686,17.470156,-15.061502,14.237734,27.107756,12.281813,-8.172973,11.119286,17.593458,12.591011,-11.834143,9.394634,9.058829,9.609438,-9.7121315,10.035558,4.9925685,8.916243,-2.540469,9.31912
a-ha -- Take On Me_4,-110.90984,48.848038,125.80076,23.535383,-43.985146,12.390965,48.733414,15.021371,-19.618122,11.563956,26.90579,12.19647,-10.682705,9.814254,16.904184,12.230296,-12.659134,9.291982,8.269544,9.839648,-9.56699,10.07926,5.1287045,9.3904915,-1.4683198,9.294802
a-ha -- Take On Me_5,-107.66936,49.43323,122.66044,23.392456,-42.535503,14.208888,50.762016,14.598248,-19.973043,11.82519,27.53865,13.013134,-12.185113,9.903623,17.139315,12.269209,-12.445173,9.69466,8.242474,9.731571,-10.964759,10.5531025,6.526371,9.619556,-2.120749,8.959294
a-ha -- Take On Me_6,-107.093605,50.584644,117.845566,25.45365,-40.154697,15.000631,54.62072,15.837658,-18.153502,14.036465,30.489702,14.008779,-13.75911,10.292333,17.037912,12.605931,-11.997123,9.89454,9.507855,9.687186,-12.710193,10.142328,7.3462505,9.709475,-3.187559,8.462097
a-ha -- Take On Me_7,-108.24681,52.799744,116.45965,26.369604,-35.857292,15.764709,56.920628,15.798575,-15.390117,14.267735,31.79607,14.014256,-15.161755,10.964005,17.525423,13.446431,-12.064495,10.051192,10.121868,9.533382,-13.61943,9.4481125,8.062738,9.52652,-3.9999876,7.5529013
a-ha -- Take On Me_8,-99.79097,55.011597,114.55143,25.307589,-34.270714,14.253655,58.807384,14.432989,-13.799027,13.4061775,34.02914,13.335371,-17.089136,10.946229,19.2559,13.234555,-10.716973,10.536236,11.914671,8.97408,-15.786423,8.800767,8.926157,8.964131,-5.530036,7.404165
